student_code,name,age,gender,class_level,semester,study_hours,sleep_hours,screen_time,study_days,attendance,previous_marks,exam_score,passed
STU-00001,Kavya Rao,18,Female,Undergraduate,Semester 3,3.5,7.0,1.6,5,74.5,67.2,55.0,1
STU-00002,Anushka Reddy,17,Female,12th,Semester 3,6.2,6.5,2.4,7,77.0,71.1,65.9,1
STU-00003,Vivaan Rao,15,Male,10th,Semester 1,1.8,7.7,4.8,4,80.5,57.8,57.5,1
STU-00004,Advaith Das,14,Male,9th,Semester 4,4.6,6.6,2.2,7,88.5,61.4,62.1,1
STU-00005,Riya Deshmukh,18,Female,11th,Semester 2,2.6,7.9,2.7,4,71.1,55.5,53.1,1
STU-00006,Pari Bhat,17,Female,12th,Semester 2,2.5,5.7,4.2,4,74.3,56.5,48.1,0
STU-00007,Avani Joshi,15,Female,9th,Semester 1,1.6,6.0,2.3,3,86.1,59.2,58.1,1
STU-00008,Dhruv Malhotra,16,Male,11th,Semester 3,1.1,6.4,3.5,2,94.6,63.0,64.3,1
STU-00009,Pranav Singh,14,Male,9th,Semester 3,2.1,6.6,1.0,4,62.7,69.9,69.8,1
STU-00010,Saanvi Singh,17,Female,11th,Semester 4,1.9,6.3,2.8,3,91.5,60.6,56.6,1
STU-00011,Anushka Kapoor,15,Female,9th,Semester 4,1.4,6.2,9.9,3,67.5,41.8,26.5,0
STU-00012,Kabir Deshmukh,16,Male,11th,Semester 4,3.6,7.2,2.8,6,89.9,72.4,75.8,1
STU-00013,Aarav Bose,14,Male,10th,Semester 1,7.9,6.6,7.2,7,79.3,72.4,70.6,1
STU-00014,Arjun Reddy,16,Male,12th,Semester 4,3.1,5.7,1.6,5,84.5,70.7,58.5,1
STU-00015,Vihaan Nair,16,Male,12th,Semester 4,2.9,6.8,3.6,5,48.0,43.0,39.2,0
STU-00016,Aditya Iyer,16,Male,9th,Semester 3,2.0,4.6,2.7,3,60.1,39.7,28.4,0
STU-00017,Muhammad Gupta,18,Male,12th,Semester 4,12.0,6.6,3.8,7,72.5,89.4,82.9,1
STU-00018,Sai Malhotra,14,Male,9th,Semester 4,4.2,7.2,3.8,6,76.0,84.1,81.5,1
STU-00019,Anushka Bhat,14,Female,9th,Semester 2,3.7,8.3,3.6,6,93.9,72.0,68.0,1
STU-00020,Aadhya Malhotra,16,Female,11th,Semester 2,7.0,6.7,3.4,7,73.0,62.9,71.4,1
STU-00021,Krishna Joshi,16,Male,12th,Semester 2,6.5,8.9,6.2,7,85.7,67.8,71.3,1
STU-00022,Rohan Chouhan,21,Male,Undergraduate,Semester 4,6.1,9.0,4.8,7,85.7,77.9,67.6,1
STU-00023,Aadhya Gupta,16,Female,11th,Semester 1,3.9,7.7,0.5,7,75.3,78.4,68.8,1
STU-00024,Dhruv Bose,18,Male,12th,Semester 3,3.7,7.3,1.6,5,65.4,60.8,64.3,1
STU-00025,Anushka Bose,17,Female,12th,Semester 2,3.2,7.9,5.1,5,56.6,51.9,53.5,1
STU-00026,Khushi Bhat,16,Female,11th,Semester 2,4.1,7.3,3.1,6,81.1,68.7,67.8,1
STU-00027,Krishna Singh,18,Male,12th,Semester 1,2.5,6.7,2.8,5,97.4,73.8,64.8,1
STU-00028,Avani Das,21,Female,Undergraduate,Semester 2,1.9,6.9,6.8,3,92.3,55.9,55.6,1
STU-00029,Sara Iyer,14,Other,9th,Semester 3,4.2,5.0,5.4,7,65.2,60.0,52.3,1
STU-00030,Ananya Deshmukh,16,Female,11th,Semester 3,2.6,7.4,2.8,5,88.2,72.7,60.2,1
STU-00031,Diya Iyer,16,Female,11th,Semester 2,1.0,5.8,2.2,2,82.2,56.1,50.1,1
STU-00032,Ishaan Gupta,18,Male,11th,Semester 1,3.2,7.2,7.0,5,85.0,62.7,50.8,1
STU-00033,Saanvi Patel,16,Female,9th,Semester 4,4.0,7.5,2.4,6,93.8,79.2,69.0,1
STU-00034,Aaryan Nair,19,Male,Undergraduate,Semester 1,4.1,7.5,0.8,7,70.4,71.0,59.4,1
STU-00035,Anushka Banerjee,16,Female,11th,Semester 4,6.6,8.5,2.2,7,85.6,75.9,76.7,1
STU-00036,Dhruv Kumar,16,Male,11th,Semester 4,0.5,5.1,1.6,3,80.9,49.7,47.4,0
STU-00037,Dev Das,17,Male,11th,Semester 4,9.1,6.7,1.7,7,68.4,76.3,81.4,1
STU-00038,Arnav Gupta,18,Male,Undergraduate,Semester 3,3.6,6.9,3.6,5,63.9,56.0,54.7,1
STU-00039,Anika Banerjee,17,Female,12th,Semester 4,4.8,5.7,1.6,7,42.9,53.6,37.7,0
STU-00040,Anand Nair,18,Male,11th,Semester 4,3.7,7.6,2.0,6,67.7,65.2,49.5,0
STU-00041,Arnav Patel,18,Male,12th,Semester 3,4.2,5.6,4.8,7,86.7,62.8,62.3,1
STU-00042,Reyansh Malhotra,18,Male,12th,Semester 2,0.5,9.8,2.3,2,80.4,59.5,50.5,1
STU-00043,Myra Mishra,21,Female,Undergraduate,Semester 2,2.6,7.7,0.7,4,72.2,66.0,59.1,1
STU-00044,Siddharth Banerjee,15,Male,10th,Semester 2,0.9,6.0,2.4,2,57.2,30.0,35.6,0
STU-00045,Saanvi Reddy,14,Female,10th,Semester 2,3.9,7.4,4.0,7,70.0,57.6,54.1,1
STU-00046,Tanvi Mehta,16,Female,12th,Semester 2,3.9,8.0,0.5,7,87.3,71.4,72.8,1
STU-00047,Rohan Patel,16,Male,10th,Semester 1,1.6,7.6,2.6,3,84.0,51.8,43.7,0
STU-00048,Aarav Deshmukh,21,Male,Undergraduate,Semester 3,6.0,5.4,1.5,7,92.7,84.0,76.4,1
STU-00049,Sai Singh,18,Male,Undergraduate,Semester 1,5.0,5.2,0.5,7,70.8,82.7,69.3,1
STU-00050,Riya Banerjee,16,Female,10th,Semester 1,1.6,9.0,6.0,4,79.8,58.0,51.6,1
STU-00051,Rohan Sharma,15,Male,10th,Semester 1,2.2,8.8,8.2,4,84.8,57.1,46.9,0
STU-00052,Tanvi Reddy,14,Other,9th,Semester 3,5.3,7.3,3.1,7,82.9,75.6,73.5,1
STU-00053,Ananya Sharma,16,Female,11th,Semester 1,5.7,6.1,1.3,7,87.6,75.8,72.9,1
STU-00054,Advaith Sharma,18,Male,11th,Semester 2,2.1,6.6,3.6,4,49.0,48.8,34.7,0
STU-00055,Siddharth Malhotra,21,Male,Undergraduate,Semester 2,3.0,4.1,3.9,5,88.3,75.0,71.0,1
STU-00056,Aditya Kumar,16,Male,10th,Semester 4,3.0,7.4,11.0,6,80.1,57.4,44.7,0
STU-00057,Dhruv Singh,14,Male,9th,Semester 3,1.6,6.9,3.2,3,78.7,59.2,47.4,0
STU-00058,Ananya Gupta,17,Female,11th,Semester 4,3.2,6.9,3.0,5,94.3,71.4,73.5,1
STU-00059,Myra Patel,21,Female,Undergraduate,Semester 3,2.2,7.0,2.4,4,92.7,66.9,61.1,1
STU-00060,Advik Chouhan,16,Male,9th,Semester 1,1.3,5.8,1.7,4,71.4,65.6,53.8,1
STU-00061,Sai Gupta,14,Male,9th,Semester 4,3.4,6.8,8.8,5,78.4,63.2,59.5,1
STU-00062,Shaurya Joshi,15,Male,10th,Semester 1,5.4,7.2,5.3,7,89.2,51.1,62.7,1
STU-00063,Angel Rao,16,Female,9th,Semester 4,1.4,8.5,2.1,3,80.9,58.3,51.8,1
STU-00064,Isha Reddy,14,Other,9th,Semester 2,3.3,6.9,3.5,5,55.5,43.6,46.8,0
STU-00065,Isha Mehta,14,Female,9th,Semester 3,4.0,5.5,3.8,6,65.9,72.2,65.8,1
STU-00066,Anand Choudhury,17,Male,12th,Semester 3,3.5,6.9,1.8,6,79.7,63.8,64.3,1
STU-00067,Siddharth Mehta,14,Male,10th,Semester 4,0.9,5.9,3.1,3,79.9,59.8,38.4,0
STU-00068,Aaradhya Chouhan,15,Female,10th,Semester 2,5.7,7.2,2.1,7,62.1,72.3,68.8,1
STU-00069,Rohan Deshmukh,17,Male,11th,Semester 3,1.9,6.4,4.3,4,68.5,43.0,50.8,1
STU-00070,Priyanka Iyer,14,Female,10th,Semester 2,2.9,6.5,6.0,5,73.7,55.1,47.8,0
STU-00071,Aditya Joshi,19,Male,Undergraduate,Semester 1,3.7,10.0,2.0,6,78.2,63.4,49.0,0
STU-00072,Aanya Chouhan,16,Female,11th,Semester 3,3.2,7.2,2.9,6,67.6,63.2,59.5,1
STU-00073,Tanvi Joshi,18,Female,12th,Semester 4,1.9,7.9,7.2,3,77.4,49.3,45.8,0
STU-00074,Ishaan Nair,14,Male,9th,Semester 1,2.8,6.7,8.3,4,88.9,53.1,55.9,1
STU-00075,Atharv Malhotra,14,Male,10th,Semester 4,3.0,8.9,0.5,6,74.0,71.5,64.7,1
STU-00076,Reyansh Malhotra,16,Male,9th,Semester 4,4.8,7.0,7.2,7,74.6,50.3,45.4,0
STU-00077,Diya Das,17,Female,12th,Semester 1,2.5,4.9,2.8,4,64.1,58.1,39.9,0
STU-00078,Tanvi Iyer,16,Female,9th,Semester 2,1.2,7.4,4.5,2,89.4,71.7,71.0,1
STU-00079,Sai Kulkarni,16,Male,10th,Semester 1,1.2,7.5,2.8,2,42.7,48.3,35.7,0
